trip_id,stop_id,stop_sequence,departure_time,arrival_time,route_type,route_short_name,route_long_name
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09779:6568:1:1,9,15:47:00,15:46:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09779:5500:13:4,10,16:16:00,15:53:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09779:6567:1:1,11,16:21:00,16:20:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09773:6569:1:1,12,16:24:00,16:24:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09773:7450:2:2,13,16:27:00,16:27:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09773:5400:1:1,14,16:31:00,16:31:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09773:5300:2:1,15,16:37:00,16:37:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09773:5200:3:2,16,16:41:00,16:41:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09773:7350:3:2,17,16:45:00,16:44:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09774:2600:2:3,18,16:56:00,16:54:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09774:2942:3:2,19,17:00:00,17:00:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09775:4801:5:3,20,17:07:00,17:06:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:09775:1711:2:1,21,17:12:00,17:12:00,2,RB 15,
ddb-90-N15-1-1-168-R-8-Special#5814-425-281,de:08421:1008:35:27,22,17:15:00,17:15:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09161:9000:5:7,1,15:11:00,15:11:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09185:8708:1:2,2,15:20:00,15:19:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09185:8709:1:1,3,15:24:00,15:23:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09185:7600:1:3,4,15:29:00,15:28:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09185:7967:1:2,5,15:34:00,15:33:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09185:8707:1:1,6,15:37:00,15:36:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09185:7954:1:2,7,15:39:00,15:39:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09779:5451:1:3,8,15:44:00,15:44:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09779:6568:1:1,9,15:47:00,15:46:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09779:5500:13:4,10,16:16:00,15:53:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09779:6567:1:1,11,16:21:00,16:20:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09773:6569:1:1,12,16:24:00,16:24:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09773:7450:2:2,13,16:27:00,16:27:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09773:5400:1:1,14,16:31:00,16:31:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09773:5300:2:1,15,16:37:00,16:37:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09773:5200:3:2,16,16:41:00,16:41:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09773:7350:3:2,17,16:45:00,16:44:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09774:2600:2:3,18,16:56:00,16:54:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09774:2942:3:2,19,17:00:00,17:00:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09775:4801:5:3,20,17:07:00,17:06:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:09775:1711:2:1,21,17:12:00,17:12:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#3564-426-282,de:08421:1008:35:28,22,17:15:00,17:15:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09161:9000:5:7,1,15:11:00,15:11:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09185:8708:1:2,2,15:20:00,15:19:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09185:8709:1:1,3,15:24:00,15:23:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09185:7600:1:3,4,15:29:00,15:28:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09185:7967:1:2,5,15:34:00,15:33:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09185:8707:1:1,6,15:37:00,15:36:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09185:7954:1:2,7,15:39:00,15:39:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09779:5451:1:3,8,15:44:00,15:44:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09779:6568:1:1,9,15:47:00,15:46:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09779:5500:13:4,10,16:16:00,15:53:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09779:6567:1:1,11,16:21:00,16:20:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09773:6569:1:1,12,16:24:00,16:24:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09773:7450:2:2,13,16:27:00,16:27:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09773:5400:1:1,14,16:31:00,16:31:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09773:5300:2:1,15,16:37:00,16:37:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09773:5200:3:2,16,16:41:00,16:41:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09773:7350:3:2,17,16:45:00,16:44:00,2,RB 15,
ddb-90-N15-1-1-183-R-23-Special#5811-423-283,de:09774:2600:2:3,18,16:56:00,16:54:00,2,RB 15,
