trip_id,stop_id,stop_sequence,departure_time,arrival_time,route_type,route_short_name,route_long_name
ddb-90-T87-1-1-101-R-24-Special#1125-137-137,de:08128:13591:1:1,26,17:29:00,17:29:00,2,RE 87,
ddb-90-T87-1-1-101-R-24-Special#1125-137-137,de:09677:75209:1:1,27,17:31:00,17:31:00,2,RE 87,
ddb-90-T87-1-1-101-R-24-Special#1125-137-137,de:09676:1905:1:1,28,17:36:00,17:36:00,2,RE 87,
ddb-90-T87-1-1-101-R-24-Special#1125-137-137,de:09676:1294:1:2,29,17:39:00,17:39:00,2,RE 87,
ddb-90-T87-1-1-101-R-24-Special#1125-137-137,de:09676:99306:1:1,30,17:42:00,17:42:00,2,RE 87,
ddb-90-T87-1-1-101-R-24-Special#1125-137-137,de:09676:99310:1:1,31,17:46:00,17:46:00,2,RE 87,
ddb-90-T87-1-1-101-R-24-Special#1125-137-137,de:09676:1914:1:1,32,17:50:00,17:50:00,2,RE 87,
ddb-90-T87-1-1-101-R-24-Special#1125-137-137,de:09676:1254:3:2,33,17:58:00,17:58:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08127:21001:2:2,1,15:33:00,15:33:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08127:25615:1:1,2,15:38:00,15:37:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08127:27531:1:1,3,15:42:00,15:41:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08127:20492:3:2,4,15:46:00,15:46:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08127:20581:1:1,5,15:53:00,15:52:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08127:20536:1:1,6,16:01:00,15:59:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08128:12910:3:2,7,16:10:00,16:09:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08128:13250:1:1,8,16:15:00,16:15:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08128:13209:3:2,9,16:19:00,16:18:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08128:12005:1:1,13,16:32:00,16:29:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08128:13927:2:2,15,16:38:00,16:38:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08128:13805:3:4,16,16:52:00,16:42:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08128:13015:1:1,19,17:00:00,16:58:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08128:13001:1:1,20,17:04:00,17:04:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08128:13309:1:1,21,17:08:00,17:08:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08128:13304:1:1,22,17:10:00,17:10:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08128:13549:1:1,23,17:14:00,17:14:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08128:13533:1:1,24,17:17:00,17:17:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08128:13412:3:3,25,17:26:00,17:24:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:08128:13591:1:1,26,17:29:00,17:29:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:09677:75209:1:1,27,17:31:00,17:31:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:09676:1905:1:1,28,17:36:00,17:36:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:09676:1294:1:2,29,17:39:00,17:39:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:09676:99306:1:1,30,17:42:00,17:42:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:09676:99310:1:1,31,17:46:00,17:46:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:09676:1914:1:1,32,17:50:00,17:50:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:09676:1254:3:2,33,18:00:00,17:58:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:09676:1180:1:1,36,18:08:00,18:08:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:09676:50519:1:1,38,18:12:00,18:11:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:09676:99309:2:3,40,18:17:00,18:16:00,2,RE 87,
ddb-90-T87-1-1-102-R-25-Special#5781-140-138,de:09661:99082:2:4,46,18:32:00,18:32:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08127:21001:3:3,1,15:33:00,15:33:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08127:25615:1:1,2,15:38:00,15:37:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08127:27531:1:1,3,15:42:00,15:41:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08127:20492:3:2,4,15:46:00,15:46:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08127:20581:1:1,5,15:53:00,15:52:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08127:20536:1:1,6,16:01:00,15:59:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08128:12910:3:2,7,16:10:00,16:09:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08128:13250:1:1,8,16:15:00,16:15:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08128:13209:3:2,9,16:19:00,16:18:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08128:12005:3:3,13,16:32:00,16:29:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08128:13927:2:2,15,16:38:00,16:38:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08128:13805:3:4,16,16:52:00,16:42:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08128:13015:1:1,19,17:00:00,16:58:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08128:13001:1:1,20,17:04:00,17:04:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08128:13309:1:1,21,17:08:00,17:08:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08128:13304:1:1,22,17:10:00,17:10:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08128:13549:1:1,23,17:14:00,17:14:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08128:13533:1:1,24,17:17:00,17:17:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08128:13412:3:3,25,17:26:00,17:24:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:08128:13591:1:1,26,17:29:00,17:29:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:09677:75209:1:1,27,17:31:00,17:31:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:09676:1905:1:1,28,17:36:00,17:36:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:09676:1294:1:2,29,17:39:00,17:39:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:09676:99306:1:1,30,17:42:00,17:42:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:09676:99310:1:1,31,17:46:00,17:46:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:09676:1914:1:1,32,17:50:00,17:50:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:09676:1254:3:2,33,18:00:00,17:58:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:09676:1180:1:1,36,18:08:00,18:08:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:09676:50519:1:1,38,18:12:00,18:11:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:09676:99309:2:3,40,18:17:00,18:16:00,2,RE 87,
ddb-90-T87-1-1-103-R-26-Special#5104-141-139,de:09661:99082:2:4,46,18:32:00,18:32:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08127:21001:3:3,1,15:33:00,15:33:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08127:25615:1:1,2,15:38:00,15:37:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08127:27531:1:1,3,15:42:00,15:41:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08127:20492:3:2,4,15:46:00,15:46:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08127:20581:1:1,5,15:53:00,15:52:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08127:20536:1:1,6,16:01:00,15:59:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08128:12910:3:2,7,16:10:00,16:09:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08128:13250:1:1,8,16:15:00,16:15:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08128:13209:3:2,9,16:19:00,16:18:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08128:12005:1:1,13,16:32:00,16:29:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08128:13927:2:2,15,16:38:00,16:38:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08128:13805:3:4,16,16:52:00,16:42:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08128:13015:1:1,19,17:00:00,16:58:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08128:13001:1:1,20,17:04:00,17:04:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08128:13309:1:1,21,17:08:00,17:08:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08128:13304:1:1,22,17:10:00,17:10:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08128:13549:1:1,23,17:14:00,17:14:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08128:13533:1:1,24,17:17:00,17:17:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08128:13412:3:3,25,17:26:00,17:24:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:08128:13591:1:1,26,17:29:00,17:29:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:09677:75209:1:1,27,17:31:00,17:31:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:09676:1905:1:1,28,17:36:00,17:36:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:09676:1294:1:2,29,17:39:00,17:39:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:09676:99306:1:1,30,17:42:00,17:42:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:09676:99310:1:1,31,17:46:00,17:46:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:09676:1914:1:1,32,17:50:00,17:50:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:09676:1254:3:2,33,18:00:00,17:58:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:09676:1180:1:1,36,18:08:00,18:08:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:09676:50519:1:1,38,18:12:00,18:11:00,2,RE 87,
ddb-90-T87-1-1-104-R-27-Special#4914-142-140,de:09676:99309:2:3,40,18:17:00,18:16:00,2,RE 87,
